location,subplot,x,y,family,genus,species,max_diam,ba_m2,combined_diam,easting,northing,zone,AI_annual_min,AI_annual_mean,AI_annual_max,precip_annual_total,precip_annual_min,precip_annual_max,precip_season_SW,precip_season_SA,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh,leaf_area_cm2,max_height_m
high,1,6.6,8.9,Lauraceae,Cryptocarya,Cryptocarya erythroxylon,5.061127190322272,0.002011798058153103,5.061127190322272,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,NA,NA,NA,NA,NA,NA,NA,NA,NA
high,1,6.9,11.6,Sapindaceae,Guioa,Guioa semiglauca,14.546761798599235,0.016619675354899624,14.546761798599233,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,7.1,18.6,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,19.703381954776642,0.03049098357501685,19.703381954776642,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,7.3,2.3,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,11.300000959524569,0.010028750851578054,11.300000959524569,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,7.6,20.8,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,49.33803235848755,0.19118487538913925,49.33803235848755,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,8.6,5.6,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,9.199155710711551,0.006646390000989096,9.199155710711551,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,8.6,12.8,Araucariaceae,Araucaria,Araucaria bidwillii,66.65409016688577,0.348934162023647,66.65409016688577,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,1.8687769352882264,5.776626255199194,0.43230026363574575,NA,0.5351861295257522,NA,6.708203932499369,3.2266874999999993,45.00000000000001
high,1,9,11.6,Lauraceae,Neolitsea,Neolitsea australiensis,4.710986315520103,0.0017430649367424383,4.710986315520103,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.4248173339485977,7.8184353002156985,0.48327851473404604,NA,0.5999787459115454,-1.8238606611103134,3.872983346207417,24.860125000000007,15.000000000000002
high,1,9.9,19.1,Araliaceae,Polyscias,Polyscias elegans,41.443947181129545,0.13490004807457665,41.443947181129545,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.7628439823602626,7.626904866366998,0.3425976162377659,-2.0035350000000003,0.43152589854483747,-2.2580353447128076,5.477225575051661,20.526868373987636,30
high,1,10.8,9.7,Sapindaceae,Elattostachys,Elattostachys xylocarpa,4.870141258611998,0.0018628290314190892,4.870141258611998,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1734438326354883,6.42461046130754,0.5325711845057162,-2.1657375,0.7622785017299635,-2.1867553593056024,5,6.1684048749999985,25
